base	reading
分岐点	ぶんきてん
分水嶺	ぶんすいれい
切刃	きりは
切島鋭児郎	きりしまえいじろう
切磋琢磨	せっさたくま
刑部卿	ぎやうぶきやう
初国	はつくに
初心	うぶ
初心者	しょしんしゃ
初見泉	はつみせん
判官	はうぐわん
判官	はんがん
判官	はんぐわん
判者	はんざ
別墅	べつしよ
別府	べふ
別当	べつたう
別当	べつとう
利基	としもと
利根川	とねがわ
利益	りやく
刹那的	せつなてき
則天武后	そくてんぶこう
前代未聞	ぜんだいみもん
前句付	まえくづけ
前屈	まえかがみ
前方後円墳	ぜんぽうこうえんふん
前田利家	まえだとしいえ
前田利長	まえだとしなが
前田玄以	まえだげんい
前腕	まえうで
前途	センド
前野良沢	まえのりょうたく
剛毅木訥	ごうきぼくとつ
剣崎梨々花	けんざきりりか
副島種臣	そえじまたねおみ
割截	かっせつ
創世記	そうせいき
創造神	そうぞうしん
創造者	そうぞうしゃ
劉少奇	りゅうしょうき
劉麗川	りゅうれいせん
劉龑	りゅうげん
加地子	かじし
加山沙希	かやまさき
加持祈禱	かじきとう
加橋比呂	かはしひろ
加茂憲倫	かものりとし
加茂憲紀	かものりとし
加藤弘之	かとうひろゆき
加藤景正	かとうかげまさ
加藤清正	かとうきよまさ
加藤葉月	かとうはづき
加藤鷹	かとうたか
加賀国	かがのくに
加部友恵	かべともえ
勅勘	ちよくかん
勅撰	ちよくせん
勅撰和歌集	ちょくせんわかしゅう
勅撰集	ちょくせんしゅう
勇悍	ゆうかん
勇猛果敢	ゆうもうかかん
動物系	ゾオンけい
動物遺体	どうぶついたい
勝手	かつて
勝鬘経	しょうまんぎょう
勝麟太郎	かつりんたろう
勧賞	けんじやう
勧進帳	くわんじんちやう
勿体	もつたい
包立身	ほうりっしん
匕首	あいくち
化地部	けじぶ
化生	けしょう
北京語	ペキンご
北南	きたみなみ
北国	ほくこく
北川桃雄	きたがわももお
北斗七星	ほくとしちせい
北村遺跡	きたむらいせき
北杜夫	きたもりお
北条政子	ほうじょうまさこ
北条時頼	ほうじょうときより
北極星	ほっきょくせい
北畠親房	きたばたけちかふさ
北畠顕家	きたばたけあきいえ
匹田	ひきだ
区々	くく
医師	くすし
十一	じゆういち
十一谷	じゆういちや
十三湊	とさみなと
十分	じゅうぶん
十干	じつかん
十干十二支	じっかんじゅうにし
十念	じふねん
十拳	とつか
十文字	じふもんじ
十方	じつぱう
十河	そごう
十訓抄	じっきんしょう
十返舎一九	じっぺんしゃいっく
千々	ちぢ
千万	せんばん
千万	ちよろづ
千五百秋	ちいほあき
千朶	せんだ
千石簁	せんごくどおし
千總	ちそう
千葉貴之	ちばたかゆき
千軍万馬	せんぐんばんば
千載集	せんざいしゅう
千重	ちへ
千騎	せんぎ
千鳥足	ちどりあし
千鶴子	ちづこ
升子	ますこ
半井恵仁	なからいけいじん
半幅帯	はんはばおび
半日	はんにち
半跏思惟	はんかしい
半間修二	はんましゅうじ
南光坊天海	なんこうぼうてんかい
南原繁	なんばらしげる
南大門	なんだいもん
南子	なんし
南巡講話	なんじゅんこうわ
南河内	みなみごうち
南無三宝	なむさんぼう
南無妙法蓮華経	なむみょうほうれんげきょう
南総里見八犬伝	なんそうさとみはっけんでん
南部実長	なんぶさねなが
単音節語	たんおんせつご
博士	はくし
卜部兼好	うらべかねよし
卯刻	うのこく
印南	いなみ
印地打	いんじうち
危邦	きほう
即興的	そっきょうてき
卵生	らんしょう
卿相	けいしやう
厄介者	やっかいもの
厄病神	やくびょうがみ
厩火事	うまやかじ
厭世観	えんせいかん
厭離	おんり
参候	さんこう
参拝者	さんぱいしゃ
参詣者	さんけいしゃ
双六	すぐろく
双六盤	すごろくばん
双声	そうせい
双眼鏡	そうがんきょう
双葉郡大熊町	ふたばぐんおおくままち
反対側	はんたいがわ
収二郎	しゅうじろう
叔梁紇	しゅくりょうこつ
受記	じゅき
受領	じゆりやう
受領	ずりょう
叙事詩	じょじし
叛賊	はんぞく
叡尊	えいそん
口分田	くぶんでん
口号	くつうた
口喧嘩	くちげんか
口永良部島	くちのえらぶじま
口穢	くちぎたな
古人	いにしえびと
古人骨	こじんこつ
古今	こきん
古今和歌六帖	こきんわかろくじょう
古今和歌集	こきんわかしゅう
古今集	こきんしゅう
古史通	こしつう
古妻	ふるづま
古川日出男	ふるかわひでお
古手屋	ふるてや
古文辞学	こぶんじがく
古来風体抄	こらいふうたいしょう
古来風体抄	こらいふうていしょう
古河	こが
古河公方	こがくぼう
古活字版	こかつじばん
古見	こみ
古譚	こたん
古郷	ふるさと
古間円児	こまえんじ
叫声	さけびごえ
召文	めしぶみ
台密	たいみつ
右京区	うきょうく
右兵衛督	うひやうゑのかみ
右大将	うだいしやう
右大臣	うだいじん
右繞	うにょう
右腕	うわん
右遶	うにょう
右遶三匝	うにょうさんそう
右顧左眄	うこさべん
司馬江漢	しばこうかん
司馬遷	しばせん
吃々	きつきつ
各〻	おのおの
合区	ごうく
合唱隊	がっしょうたい
合子	ごうし
合戦	かつせん
吉事	よごと
吉備真備	きびのまきび
吉川優子	よしかわゆうこ
吉川広家	きっかわひろいえ
吉弥	きちや
吉沢秋子	よしざわあきこ
吉田兼好	よしだけんこう
吉田松陰	よしだしょういん
吉田歩美	よしだあゆみ
吉田茂	よしだしげる
吉祥	きっしょう
吉良上野介	きらこうずけのすけ
吉良義央	きらよしなか
吊梯子	つりばしご
同位体	どういたい
同士軍	どしいくさ
同胞	はらから
名児	なご
名取裕子	なとりゆうこ
名和長年	なわながとし
名物裂	めいぶつぎれ
名田	みょうでん
名誉毀損	めいよきそん
名頭	ながしら
名鳴女	ななきめ
吐瀉物	としゃぶつ
向後	きょうこう
向栄	こうえい
向背	こうはい
向脛	むこうずね
吝嗇	けち
吟遊詩人	ぎんゆうしじん
吾妻	あづま
吾妻錦絵	あずまにしきえ
呂雉	りょち
呉佩孚	ごはいふ
呉如孝	ごじょこう
呉文鎔	ごぶんよう
呉茂一	くれしげいち
呉雷庵	くれらいあん
周仏海	しゅうふつかい
周公旦	しゅうこうたん
周南市	しゅうなんし
周防久志	すおうひさし
周防国	すおうのくに
周防灘	すおうなだ
呪詛	じゅそ
味噌汁	みそしる
味耜高彦根神	あぢすきたかひこねのかみ
咄々	とつとつ
和一郎	わいちろう
和修吉時	わしゅうよしとき
和修常吉	わしゅうつねよし
和同開珎	わどうかいちん
和気清麻呂	わけのきよまろ
和気藹々	わきあいあい
和泉国	いずみのくに
和泉式部	いずみしきぶ
和漢朗詠集	わかんろうえいしゅう
和漢混淆文	わかんこんこうぶん
和田勉	わだべん
和蘭字彙	おらんだじい
和解	わげ
咸豊	かんぽう
咸豊帝	かんぽうてい
哀川翔	あいかわしょう
哀慟	あいどう
哲学者	てつがくしゃ
哺乳類	ほにゅうるい
唇歯輔車	しんしほしゃ
唐三彩	とうさんさい
唐招提寺	とうしょうだいじ
唐机	とうづくえ
唐綾威	からあやおどし
唐綾威	からあやをどし
唐話	とうわ
唐音	とうおん
唯一神道	ゆいいつしんとう
唯美主義	ゆいびしゅぎ
唯識論	ゆいしきろん
商沽	しょうこ
問注所	もんちゅうじょ
善女人	ぜんにょにん
善女龍王	ぜんにょりゅうおう
善男子	ぜんなんし
善祐	ぜんゆう
喜多川歌麿	きたがわうたまろ
喜多村来南	きたむららいな
喧喧囂囂	けんけんごうごう
営田	つくだ
嗔恚	しんい
嗜好品	しこうひん
嗣信	つぎのぶ
嗣治	つぐはる
嘉津宇岳	かつうだけ
嘉靖帝	かせいてい
嘴平伊之助	はしびらいのすけ
器物	うつはもの
噴火口	ふんかこう
四七日	よなのか
四六	しろく
四十	しじゅう
四向	しこう
四向四果	しこうしか
四天王	してんのう
四方	しはう
四方	よも
四方蓮示	よもれんじ
四旬節	しじゅんせつ
四時	しじ
四書	ししょ
四書五経	ししょごきょう
四条大納言	しじょうだいなごん
四果	しか
四極	しはつ
四正勤	ししょうごん
四海	しかい
四神足	しじんそく
四禅	しぜん
四禅天	しぜんてん
四科	しか
四聖	ししょう
四聖諦	ししょうたい
四肢骨	ししこつ
四諦	したい
四足	よつあし
四辺形	しへんけい
四郎	しらう
四郎左衛門	しろうざえもん
四部合戦状	しぶかっせんじょう
回向	ゑかう
因果応報	いんがおうほう
因縁話	いんねんばなし
団子坂	だんござか
困民党	こんみんとう
囲繞	いにょう
図書頭	ずしょのかみ
固執	こしゅう
国中連公麻呂	くになかのむらじきみまろ
国史跡	くにしせき
国嘉	くにか
国境	くにざかい
国安	くにやす
国尽	くにづくし
国慶節	こっけいせつ
国立	くにたち
国譲	くにゆずり
国造	くにのみやつこ
國紀	くにのり
土一揆	どいっき
土代	どだい
土佐光信	とさみつのぶ
土佐国	とさのくに
土器	どき
土器片	どきへん
土師	はし
土方歳三	ひじかたとしぞう
土方雄久	ひじかたかつひさ
土産	とさん
土産物	みやげもの
土肥	とひ
土肥原賢二	どひはらけんじ
土蔵造	どぞうづくり
土雲	つちぐも
在五中将	ざいごちゅうじょう
在原業平	ありわらのなりひら
在家役	ざいけやく
地下	じげ
地下	ぢげ
地下人	じげにん
地下請	じげうけ
地下連歌	じげれんが
地方	じかた
地景	ちけい
地発	じおこし
地種	ちしゅ
地頭	じとう
坂上望城	さかのうえのもちき
坂上田村麻呂	さかのうえのたむらまろ
坂本龍馬	さかもとりょうま
坂東武者	ばんどうむしや
坂東洋平	ばんどうようへい
坊主頭	ぼうずあたま
坪口広史	つぼぐちひろし
垂氷	たるひ
垂涎	すいぜん
埋木	うもれぎ
執筆	しゆひつ
執著	しゅうじゃく
執行	しゆぎやう
執行草舟	しぎょうそうしゅう
基址	きし
基通	もとみち
基隆	きいるん
堀口大學	ほりぐちだいがく
堀口星眠	ほりぐちせいみん
堀田善衞	ほったよしえ
堀秀政	ほりひでまさ
堀秀治	ほりひではる
堂上連歌	どうじょうれんが
堂塔	だうたふ
堂衆	どうしゅ
堅州国	かたすくに
堅忍不抜	けんにんふばつ
堆積岩	たいせきがん
堆積物	たいせきぶつ
堤中納言	つつみちゅうなごん
堪忍	かに
堯舜	ぎょうしゅん
堺万紗子	さかいまさこ
堺市	さかいし
塔廟	とうびょう
塗盃	ぬりさかずき
塙保己一	はなわほきいち
塙団右衛門	ばんだんえもん
塚山由太郎	つかやまゆたろう
塩土老翁	しおつちのおじ
塩田	えんでん
塩谷温	しおのやおん
塩飽	しあく
塵芥	ちりあくた
境界	きょうがい
増田長盛	ましたながもり
増穂残口	ますほざんこう
墨摺絵	すみずりえ
墾田永年私財法	こんでんえいねんしざいのほう
壊色	えじき
士大夫	したいふ
士師記	ししき
壬二集	みにしゅう
壬生忠岑	みぶのただみね
変化	へんげ
変生	へんせい
夏安居	げあんご
夏島	なつしま
夏島貝塚	なつしまかいづか
夏目広次	なつめひろつぐ
夏目漱石	なつめそうせき
外出	そとで
外反拇趾	がいはんぼし
外山正一	とやままさかず
外崎	とのざき
外惑星	がいわくせい
外才	げざい
外輪山	がいりんざん
多勢	たぜい
多賀城市	たがじょうし
多部空満	たべそらみつ
夜半	よわ
夜想曲	やそうきょく
夜蛾正道	やがまさみち
夜飯	よめし
大中臣能宣	おおなかとみのよしのぶ
大串章	おおぐしあきら
大久保利通	おおくぼとしみち
大久保忠世	おおくぼただよ
大久保忠益	おおくぼただます
大乗戒壇	だいじょうかいだん
大事	おおごと
大事件	だいじけん
大人	たいじん
大仙院	だいせんいん
大伯皇女	おおくのひめみこ
大伴古麻呂	おおとものこまろ
大伴坂上郎女	おおとものさかのうえのいらつめ
大伴家持	おおとものやかもち
大伴旅人	おおとものたびと
大倉喜八郎	おおくらきはちろう
大倭	おおやまと
大八島国	おおやしまぐに
大八洲	おおやしま
大八洲国	おおやしまぐに
大兼久	おおがねく
大刀	だいとう
大力	だいぢから
大勢	おほぜい
大勢	たいせい
大原今城	おおはらのいまき
大友康平	おおともこうへい
大名	だいみやう
大和三山	やまとさんざん
大和俗訓	やまとぞくくん
大和和紀	やまとわき
大和国	やまとのくに
大和心	やまとごころ
大和敢助	やまとかんすけ
大和物語	やまとものがたり
大和絵	やまとえ
大和路	やまとじ
大嘗	おおなめ
大嘗	おおにえ
大嘗	おほにへ
大嘗会役	だいじょうえやく
大嘗祭	だいじょうさい
大国	おおくに
大国	おほくに
大国主	おほくにぬし
大国主神	おおくにぬしのかみ
大地	だいぢ
大地母神	だいちぼしん
大地溝帯	だいちこうたい
大坂	おおざか
大堰川	おおいがわ
大塚末子	おおつかすえこ
大天狗	ダイテング
大太刀	おほだち
大夫	たいふ
