base	reading
御稜威	みいつ
御簾	みす
御統	みすまる
御衣	おおんぞ
御衣	ぎょい
御衣	みけし
御調	みつぎ
御軍	みいくさ
御輿	みこし
御酒	みき
御陰	みほと
御霊代	みたましろ
御魂	みたま
復	また
循行	じゅんこう
微臣	びしん
徳川慶喜	とくがわよしのぶ
心志	しんし
忍冬	スイカズラ
志	こころざし
応神	おうじん
忠義	ちゅうぎ
忠臣	ちゅうしん
怒	いか
思	おもい
思邦歌	くにしのびうた
怠	おこた
性	さが
恙	つつが
恢弘	かいこう
恭倹	きょうけん
息	いき
悦	えつ
悾悾	こうこう
情	なさけ
惟	おもん
惟神	かむながら
惟神	かんながら
惧	おそ
惻々	そくそく
愈	いよいよ
意	こころ
愛	お
感佩	かんぱい
感孚	かんぷ
慈	いつく
慈	いつくしみ
慧眼	けいがん
憂	うれ
憂	うれい
憤	いきどお
憲	のり
懐良	かねなが
懼	おそ
成	なる
我	あ
我	が
我	わ
我	わが
我	われ
我国	わがくに
或	あるい
所	ところ
所謂	いわゆる
所長	しょちょう
手末	たなすゑ
手腓	たこむら
扶	たす
抑	そもそも
抑々	そもそも
折	おり
拉致	ラチ
拍	はく
拘	かかわ
拾	ひろ
振興	しんこう
捲	ま
授	さづ
掣肘	せいちゅう
推古	すいこ
推古天皇	すいこてんのう
推譲	すいじょう
損	そん
撫育	ぶいく
支那	しな
支那	シナ
放逐	ほうちく
政	まつりごと
敬忠	けいちゅう
敵	てき
數	かず
文武	もんむ
文武天皇	もんむてんのう
斉明	さいめい
斉衰	しさい
斎	いつ
斎庭	ゆにわ
新	あらた
新嘗祭	しんじょうさい
新政	しんせい
新田義貞	にったよしさだ
新羅	しらぎ
新論	しんろん
於	おい
施	ほどこ
旅行	りょこう
族	やから
旗	はた
旗幟	きし
日出	ひい
日向	ひむか
日向	ひゅうが
日夜	にちや
日新	にっしん
日星	じっせい
日月	じつげつ
日本外史	にほんがいし
日本武尊	やまとたけるのみこと
日本武尊	ヤマトタケルノミコト
日沒	にちぼつ
日神	ひのかみ
日蓮宗	にちれんしゅう
日野俊基	ひのとしもと
日野資朝	ひのすけとも
明	あ
明	あかる
明	あきら
易姓革命	えきせいかくめい
易行道	いぎょうどう
昭憲	しょうけん
是	これ
時宗	じしゅう
晦	つごもり
景行	けいこう
景行天皇	けいこうてんのう
暫	しばら
暫	しばらく
月照	げっしょう
有職故実	ゆうそくこじつ
有衆	ゆうしゅう
服部正明	はっとりまさあき
朕	ちん
望	のぞ
朝	あした
朝餉	あさがれい
木造	もくぞう
末	すえ
末木文美士	スエキフミヒコ
末葉	うらば
末近浩太	すえちか・こうた
本	もと
本居宣長	もとおりのりなが
本村凌二	もとむら・りょうじ
本間順治	ホンマジュンジ
杉戸清樹	すぎと・せいじゅ
杯	つき
東	アヅマ
東京特許許可局	とうきょうとっきょきょかきょく
東大寺	とうだいじ
松宮観山	まつみやかんざん
松本	マツモト
柃	いちさかき
柊	ヒイラギ
柔	にこや
柱	はしら
柳父章	ヤナブ・アキラ
栄	えい
栄華	えいが
栲幡千千姫命	タクハタチヂヒメノミコト
桑原武夫	クワバラ・タケオ
桓武	かんむ
桓武天皇	かんむてんのう
桜	さくら
梨本	ナシモト
梭	ひ
梵	ブラフマン
棄兒	すてご
棘	とげ
椒	はじかみ
椙本	スギモト
椽	たるき
楕円	だえん
楠木正成	くすのきまさしげ
楠本	クスモト
業	カルマ
楲	ひ
榊	さかき
様	さん
樫本	カシモト
樹	た
橘諸兄	たちばなのもろえ
橙	だいだい
機屋	はたや
機織	はたおり
橿原	かしはら
次	つぎて
欺	あざむ
欽定憲法	きんていけんぽう
欽明	きんめい
欽明天皇	きんめいてんのう
正	ただ
正成	まさしげ
正気	せいき
此	こ
此	この
武内宿禰	たけうちのすくね
武士	もののふ
歴木	くぬぎ
殯	あらき
毫	ごう
氏上	うじのかみ
氏人	うじびと
氏文	うじぶみ
氏神	うじがみ
民	たみ
民約憲法	みんやくけんぽう
気吹戸	いぶきど
水	みず
水取	もひとり
水土	すいど
水村美苗	みずむら・みなえ
水母	くらげ
氷木	ひぎ
永祚	えいそ
永積安明	ナガヅミヤスアキ
汝	いまし
汝	な
汝	なんじ
池上英洋	いけがみ・ひでひろ
河内	かわち
河内	こうち
治	し
法令	ほうれい
法隆寺	ほうりゅうじ
洋々	ようよう
洋風	ようふう
流刑	るけい
流弊	りゅうへい
浄土宗	じょうどしゅう
浄土門	じょうどもん
浅見絅斎	あさみけいさい
浅間	あさま
浦安	うらやす
浪速	なにわ
海	わた
海布	め
海石	いくり
海蓴	こも
海驢	みち
海鼠	こ
淬励	さいれい
混沌	こんとん
清	きよ
清水幾太郎	シミズ・イクタロウ
渙発	かんぱつ
渝	かわ
渡	と
渡御	とぎょ
渡辺照宏	ワタナベショウコウ
渡部昇一	わたなべしょういち
渡部泰明	ワタナベ・ヤスアキ
湊川神社	みなとがわじんじゃ
源実朝	みなもとのさねとも
源頼朝	みなもとのよりとも
滝浦真人	たきうらまさと
漢意	からごころ
漬	なづ
漸次	ぜんじ
澎湃	ほうはい
灯	ともしび
炉	いろり
炊事	すいじ
炳	へい
炷	とうしん
為	な
烏	からす
烏草樹	さしぶ
無塩	ぶえん
無色界	むしきかい
無道	むどう
然	しか
煙	けむり
熊襲	くまそ
熊野純彦	クマノ・スミヒコ
燒	や
燦然	さんぜん
燧臼	ひきりうす
爾	なんじ
爾来	じらい
牽引	けんいん
独神	ひとりがみ
独逸	ドイツ
献上	けんじょう
猶	なお
獄	ひとや
率	ひき
玉体	ぎょくたい
王	きみ
王仁	わに
王土	おうど
王子	おうじ
現人神	あらひとがみ
理	ことわり
瑕瑾	かきん
瑞穂	みずほ
環	めぐ
瓊瓊杵尊	ににぎのみこと
瓊瓊杵尊	ニニギノミコト
瓦	かわら
甚	はなは
生々	しょうじょう
生業	なりわい
生酥	しょうそ
産	む
産土	うぶすな
用	もち
用言	ようげん
田中克彦	タナカカツヒコ
田中英道	たなか・ひでみち
田畑	たはた
田荘	たどころ
畏	おそ
畏	かしこ
畔	あ
畝傍山	うねびやま
異心	ことごころ
異朝	いちょう
疾	やまい
病院	びょういん
発	はっ
發	はっ
白旗	しらはた
白髪	しらかみ
百々佑利子	モモユリコ
百姓	おおみたから
百済	くだら
百濟	くだら
百行	ひゃっこう
皆	みな
皇	すめら
皇位	こうい
皇兄	こうけい
皇大神宮	こうたいじんぐう
皇大神宮	こうだいじんぐう
皇太子	こうたいし
皇孫	こうそん
皇孫	すめみま
皇室典範	こうしつてんぱん
皇居	こうきょ
皇御孫	すめみま
皇極	こうぎょく
皇極天皇	こうぎょくてんのう
皇猷	こうゆう
皇祖	こうそ
皇祖皇宗	こうそこうそう
皇霊殿	こうれいでん
盛	さかん
直	なお
直会	ナオライ
直道	じきどう
相	あい
相剋	そうこく
真事	まこと
真宗	しんしゅう
真摯	しんし
真言	まこと
睦	むつ
矛	ほこ
矜式	きょうしょく
知行合一	ちこうごういつ
矩	のり
矯	た
石根	いわね
石田瑞麿	いしだみずまろ
社	ヤシロ
祀	まつ
祖宗	そそう
祝	はふり
祝詞	のりと
神	かみ
神	かん
神	みわ
神	カミ
神事	かみごと
神代七代	かみよななよ
神兵	しんぺい
神功	じんぐう
神勅	しんちょく
神器	じんぎ
神国	しんこく
神垣	かみがき
神州	しんしゅう
神意	しんい
神武	しんぶ
神武	じんむ
神武天皇祭	じんむてんのうさい
神殿	しんでん
神産巣日神	カミムスビノカミ
神皇正統記	じんのうしょうとうき
神祇官	じんぎかん
神祖	かむおや
神裔	しんえい
神道	しんとう
神道	じんどう
神道	シンタウ
神道	シンダウ
神道	シントウ
神道	シンドウ
禅譲放伐	ぜんじょうほうばつ
禊祓	みそぎはらい
禍	まが
禍	わざわい
禦侮	ぎょぶ
禮	れい
禿	かむろ
秀	ひい
秀	ほ
私	わたくし
秋月龍珉	あきづきりょうみん
科戸	しなと
称徳	しょうとく
程	ほど
稚	わか
稜威	みいつ
種子	たね
稻	いね
穢	けが
穢	けがれ
窪薗晴夫	くぼぞのはるお
窮	きわま
竈	へつひ
立	たち
竭	つ
端	は
端	はし
笑	わらい
笠原十九司	カサハラトクシ
笠縫	かさぬい
笹原宏之	ささはら・ひろゆき
等	ら
篋	はこ
篳篥	ひちりき
簸川	ひのかわ
米川明彦	よねかわあきひこ
粋然	すいぜん
紀伊	きい
紀元	きげん
紀元節	きげんせつ
紀野一義	キノカズヨシ
素戔嗚	スサノオ
素戔嗚尊	すさのおのみこと
細螺	しただみ
紹述	しょうじゅつ
終	つい
組	くみ
組	ぐみ
経綸	けいりん
統	す
絶	た
綏靖天皇	すいぜいてんのう
網野善彦	アミノ・ヨシヒコ
総司	そうじ
緒	お
縁	えん
縲絏	るいせつ
繁木	しげき
罕	まれ
罪	つみ
群品	ぐんぽん
義助	よしすけ
義時	よしとき
習	なら
翠鳥	そにどり
老若男女	ろうにゃくなんにょ
而	しか
聖寿	せいじゅ
聖徳太子	しょうとくたいし
聖德太子	しょうとくたいし
聖文神武	せいぶんしんぶ
聖業	せいぎょう
聖武	しょうむ
聖武天皇	しょうむてんのう
聖緒	せいしょ
聖道門	しょうどうもん
聞	きこ
聞分	ききわ
聞香	ぶんこう
聲	こえ
聳	そび
肇	はじ
肇国	ちょうこく
肇基	ちょうき
股肱	ここう
能	あた
腓	こぶら
腕	ただむき
膝方歳三	ひざかたとしぞう
膳夫	かしはで
臨済宗	りんざいしゅう
自	みずか
自	みずから
自今	じこん
自殺	じさつ
自然法爾	じねんほうに
至尊	しそん
興隆	こうりゅう
舒明	じょめい
舟	ふな
舳	へ
船渠	せんきょ
艫	とも
色	いろ
色界	しきかい
花道	はなみち
苟	いやしく
若布	わかめ
若水	わかみず
茲	ここ
草薙剣	くさなぎのつるぎ
草薙劔	くさなぎのつるぎ
荒魂	あらみたま
莫春	ぼしゅん
菅原	すげはら
菅原道真	すがわらみちざね
菊池氏	きくちし
菊池秀明	キクチヒデアキ
菠薐	ほうれん
華	ハナ
萎靡	いび
萬世一系	ばんせいいっけい
萬民	ばんみん
萱	かや
葉盤	ひらで
葦牙	あしかび
葬儀	そうぎ
葺	ふ
蒜	ひる
蒼生	そうせい
蓋	けだ
蓴	ぬなは
薙	な
薩摩	サツマ
薫蕕	くんいう
藤原	ふじわら
藤原彰	フジワラ・アキラ
藤原鎌足	ふじわらのかまたり
藤森照信	ふじもり・てるのぶ
藤田東湖	ふじたとうこ
藥	くすり
蘇我氏	そがし
蘇我石川麻呂	そがのいしかわまろ
蘇我蝦夷	そがのえみし
處	ところ
虧	か
虻	あぶ
虻	あむ
蚕	かいこ
蚕	こ
蛇	へみ
蝦夷	えぞ
蝦夷	えみし
蝮	たぢひ
螺髪	らほつ
螺髻	らけい
蠶	かいこ
血	ち
衆芳	しゅうほう
行	おこない
行	ぎょう
行基	ぎょうき
行宮	あんぐう
袋	ふくろ
裡	うち
褌	フンドシ
襪	したぐつ
襲	おすひ
西班牙	スペイン
西行法師	さいぎょうほうし
要	よう
覆溺	ふくでき
見参	げんざん
見参	げんぞう
覚	さとり
親	した
親鸞	しんらん
解脱	げだつ
言	げん
言	こと
言立	ことだ
言霊	ことだま
許田	きょだ
訴	うったえ
詔	みことのり
詞章	ししょう
詠	ながめごと
詩歌	しいか
詭激	きげき
詳	つまびらか
誅	ちゅう
誉	ほまれ
誠	まこと
談合	だんこう
談山神社	たんざんじんじゃ
諍	あらそ
論	あげつら
諸事	しょじ
諺	ことわざ
講筵	こうえん
謡歌	ようか
謳	うた
謳	おう
警	いまし
譬	たと
議	はか
護王神社	ごおうじんじゃ
豊葦原	とよあしはら
豐年	ほうねん
貢	みつぎ
貢物	みつぎもの
貴	たっと
賀茂真淵	かものまぶち
賀詞	がし
賢	かしこ
賢士	けんし
賢所	かしこどころ
質素	しっそ
赤子	せきし
赤心	せきしん
趣味	シュミ
跛	あしなへ
蹈鞴	タタラ
蹤	あと
蹴鞠	けまり
躬	み
軍船	いくさぶね
輓近	ばんきん
輔翼	ほよく
轍	てつ
近代	ちかつよ
近江	おうみ
近江令	おうみりょう
逐	お
逕庭	けいてい
遂	つい
遊行	ゆぎょう
道元	どうげん
道鏡	どうきょう
違	たが
遠山茂樹	トオヤマ・シゲキ
遥	はるか
遷	うつ
遺	のこ
還相回向	げんそうえこう
邑	むら
部曲	かきべ
部民	ぶみん
都	みやこ
酒	さけ
醇化	じゅんか
醜男	シコヲ
釈徹宗	しゃく・てっしゅう
野洲	やす
金	きん
金	くがね
金剛石	ダイヤモンド
鈴木大拙	スズキ・ダイセツ
鈴木孝夫	スズキタカオ
鈴木孝夫	スズキ・タカオ
鉄	まがね
鉗	かなばさみ
銀	しろがね
鋳造	ちゅうぞう
鍍金	メッキ
鍛冶	かじ
鎌足	かまたり
鎮守	ちんじゅ
長髄彦	ナガスネヒコ
間	けん
阪下圭八	サカシタケイハチ
防人	さきもり
阿修羅	アスラ
阿弥陀仏	あみだぶつ
阿部芳郎	アベヨシロウ
陋習	ろうしゅう
降	くだり
降參	こうさん
陰	ほと
陵	みささぎ
雖	いえど
雛祭	ひなまつり
難	がた
難	なん
難波	なにわ
雷雨	らいう
雹	ひょう
霄壌	しょうじょう
霊	たましい
霊	みたま
霊畤	まつりのにわ
青	あお
青垣山	あおがきやま
靖献遺言	せいけんいげん
革	つくりかわ
靴	くつ
順	したが
頗	すこぶ
領巾	ひれ
頭	かしら
頭	かぶ
頭首	とうしゅ
頼山陽	らいさんよう
風	ふう
風俗	ふうぞく
風土記	ふどき
食	は
養老	ようろう
餘年	よねん
饒速日命	ニギハヤヒノミコト
首領	しゅりょう
香取	かとり
香椎	かしい
馬渕睦夫	まぶちむつお
馬渕睦夫	まぶち・むつお
駕	が
駿河	するが
験	しるし
高倉下	タカクラジ
高処	つかさ
高千穂	たかちほ
高名	こうみょう
高天原	たかまのはら
高山正之	たかやままさゆき
高御座	たかみくら
高御産巣日神	タカミムスビノカミ
高慢	こうまん
高木惣吉	タカギソウキチ
高橋氏文	たかはしうじぶみ
高殿	たかどの
高田	あげた
高麗	こま
高麗人	こまびと
鳥見	とみ
鳥見山	とみのやま
鳰鳥	にほどり
鳰鳥	みほどり
鳶	とび
鴻業	こうぎょう
鵄	とび
鵜川	うがわ
鵠	くび
鶏	かけ
鶏婚	とりたはけ
鶴	たづ
鶺鴒	まなばしら
鷦鷯	さざき
鹿	しか
鹿島	かしま
麥	むぎ
黄泉	よみ
黄肌	キハダ
黄葉	もみじ
黄蜀葵	とろろあおい
黎民	れいみん
黒葛	つづら
神器	じんぎ
神國	しんこく
神樂	かぐら
神武天皇	じんむてんのう
諸國	しょこく
𠮟咤	しった
